latitude,longitude,storeNumber,addressLocality,addressRegion,streetAddress,postalCode
39.763441,-75.518162,361676,Wilmington,DE,4601 N Market St,19802-1311
39.7945,-75.5467,423968,Wilmington,DE,2415 Concord Pike,19803
39.7181,-75.6031,423969,Wilmington,DE,104 Becker Ave,19804
39.752581,-75.588538,375232,Wilmington,DE,3301 Lancaster Pike,19805-1436
39.724146,-75.656344,379611,Wilmington,DE,4528 Kirkwood Hwy,19808-5118
39.805553,-75.501976,651453,Wilmington,DE,1853 Marsh Rd,19810
39.801401,-75.505322,345696,Wilmington,DE,1728 Marsh Rd,19810-4606
43.6503384,-93.3611371,234739,Albert Lea,MN,707 E Main St,56007
43.651171,-93.360407,617909,Albert Lea,MN,802 E Main St,56007
45.886944,-95.377386,254202,Alexandria,MN,505 Broadway St,56308
45.2138106,-93.3938061,695565,Anoka,MN,St Francis Blvd Nw,55303
45.202476,-93.378184,18189,Anoka,MN,2350 7th Ave,55303-1769
45.2737232,-93.4199865,31815,Anoka,MN,6014 167th Ave Nw,55303-3784
44.744172,-93.176138,19310,Apple Valley,MN,5480 141st St W,55124-4243
43.6013212,-93.0210307,616456,Austin,MN,170th St,55912
43.6665276,-92.974899,244765,Austin,MN,106 S Main St,55912
45.3911816,-93.8738639,49113,Becker,MN,13850 1st St,55308-9319
47.49093,-94.888503,619046,Bemidji,MN,701 Paul Bunyan Dr Nw,56601
47.4694973,-94.8797551,270251,Bemidji,MN,121 2nd St NW,56601
45.163733,-93.266065,93410,Blaine,MN,10625 University Ave Ne,55434-8030
45.19705,-93.230588,18623,Blaine,MN,1524 125th Ave Ne,55449-4749
44.85945,-93.269651,69050,Bloomington,MN,427 E 79th St,55420-1252
44.8089149,-93.3295267,85077,Bloomington,MN,10732 France Ave S,55437
44.809397,-93.384554,91666,Bloomington,MN,10700 Bloomington Ferry Rd,55438-2475
46.358129,-94.203338,641494,Brainerd,MN,423 Washington St,56401
46.35731,-94.216454,276815,Brainerd,MN,421 W Washington St,56401
45.097674,-93.322176,77390,Brooklyn Park,MN,3260 Brookdale Dr N,55443-2884
45.094697,-93.375549,82606,Brooklyn Park,MN,7982 Brooklyn Blvd,55445-2722
45.1729252,-93.8763647,623732,Buffalo,MN,27 Central Ave,55313
45.185712,-93.874264,40323,Buffalo,MN,96 14th St Ne,55313-1996
44.754719,-93.27788,640959,Burnsville,MN,13732 Nicollet Ave,55337
44.7540175,-93.2778905,98743,Burnsville,MN,13756 Nicollet Ave,55337-4003
45.573779,-93.212348,659108,Cambridge,MN,1595 2nd Ave Ne,55008
45.57263,-93.246537,50784,Cambridge,MN,1717 Hwy 95,55008-4122
45.319839,-93.346123,35879,Cedar,MN,3162 Viking Blvd Nw,55011-9339
44.859608,-93.53304,652861,Chanhassen,MN,455 W 79th St,55317
44.8575531,-93.5303696,98110,Chanhassen,MN,330 Lake Dr E,55317
44.792721,-93.598103,28085,Chaska,MN,818 Yellow Brick Rd,55318-2152
45.371082,-92.8897288,45707,Chisago City,MN,29310 Old Towne Rd,55013-9401
45.14205,-93.163867,649432,Circle Pines,MN,9370 Lexington Ave N,55014
46.7215,-92.449,438881,Cloquet,MN,1404 Cloquet Ave,55720
45.4572,-94.4365,438884,Cold Spring,MN,#1,56320
45.046514,-93.247143,60379,Columbia Heights,MN,4301 Central Ave Ne,55421-2925
44.828641,-92.941364,684330,Cottage Grove,MN,7121 E Point Douglas Rd S,55016
44.832749,-92.960427,24898,Cottage Grove,MN,7145 E Point Douglas Rd S,55016-3014
47.7783902,-96.6032108,215825,Crookston,MN,601 N Broadway,56716
46.8088123,-95.8457931,203590,Detroit Lakes,MN,1302 Washington Ave,56501
